COUNTER;DIR;FILE;TITLE
1;../about/;../about/aboutimagescredit.qmd;About images credit
2;../about/;../about/aboutlearning.qmd;About learning
3;../about/;../about/aboutlisting-card.qmd;Articles Card-Listing
4;../about/;../about/aboutlisting.qmd;Articles Table-Listing
5;../about/;../about/aboutme.qmd;About me
6;../about/;../about/aboutquestions.qmd;About the Useful Questions
7;../about/;../about/aboutthissite.qmd;About this site
8;../devops/;../devops/devops-doc-quarto.qmd;How to document: Quarto and Obsidian
9;../devops/;../devops/devops-ide-intelljidea.qmd;IDE: IntellJIdea
10;../devops/;../devops/devops-ide-visualcode.qmd;Visual Code
11;../devops/;../devops/devops-lab-chatapp.qmd;Lab 1: chat App
12;../devops/;../devops/devops-lab-k8sdigitalocean.qmd;Lab 5: k8s on Digital Ocean
13;../devops/;../devops/devops-lab-springbooksdocker.qmd;Lab 4: Spring Boot and Docker
14;../devops/;../devops/devops-lab-springbooksintro.qmd;Lab 2: Spring Boot Intro
15;../devops/;../devops/devops-lab-springbookss3.qmd;Lab 3: Spring Boot and AWS S3
16;../devops/;../devops/devops-tools-aws.qmd;Aamanzon Web Sevices AWS
17;../devops/;../devops/devops-tools-digitalocean.qmd;Digital Ocean
18;../devops/;../devops/devops-tools-docker.qmd;Docker
19;../devops/;../devops/devops-tools-installjenkins.qmd;Howto install Jenkins
20;../devops/;../devops/devops-tools-installmaven.qmd;Howto install Maven
21;../devops/;../devops/devops-tools-jenkins.qmd;Jenkins pipelines
22;../devops/;../devops/devops-tools-k8s.qmd;Kubernetes k8s
23;../devops/;../devops/devops-vc-github.qmd;GitHub
24;../devops/;../devops/devops-vc-git.qmd;Git
25;../devops/;../devops/devops-what-immutable.qmd;Immutable Infrastructure
26;../devops/;../devops/devops-what-intro.qmd;DevOps: Introduction
27;../devops/;../devops/devops-what-overview.qmd;DevOps: agile and microservices
28;../devops/;../devops/resources.qmd;Resources
29;../ifcd0210/;../ifcd0210/ifcd0210calendar.qmd;IFCD0210 Calendar
30;../ifcd0210/;../ifcd0210/ifcd0210deliveries.qmd;IFCD Deliveries
31;../ifcd0210/;../ifcd0210/ifcd0210initemail.qmd;IFCD Init Mail
32;../ifcd0210/;../ifcd0210/ifcd0210.qmd;IFCD0210 Official Docs
33;../javase/;../javase/resources.qmd;Java SE Resources
34;../javase/;../javase/se-concepts-coupling.qmd;Java SE: Coupling/Cohesion
35;../javase/;../javase/se-concepts-createproject.qmd;Java SE: Create Maven Project
36;../javase/;../javase/se-concepts-maven.qmd;Java SE: Maven
37;../javase/;../javase/se-concepts-objects.qmd;Java SE: Class and Objects
38;../javase/;../javase/se-concepts-package.qmd;Java SE: Packages
39;../javase/;../javase/se-concepts-projectgit.qmd;Java SE: Project push GitHub
40;../javase/;../javase/se-concepts-scope.qmd;Java SE: Scope
41;../javase/;../javase/se-concepts-static.qmd;Java SE: static modifier
42;../javase/;../javase/se-concepts-tdd.qmd;Java SE: JUnit and TDD
43;../javase/;../javase/selab1-1.qmd;Lab#SE01-1: Maven/Gradle Person and Account
44;../javase/;../javase/selab1-2.qmd;Lab#SE01-2: Maven/Gradle Person and Account stored in JSON
45;../javase/;../javase/selab3.qmd;Lab#SE02-1: Movie/Review
46;../javase/;../javase/selab4.qmd;Lab 4: subject
47;../javase/;../javase/selab5.qmd;Lab 5: subject
48;../javase/;../javase/se-pattern-abstractfactory.qmd;Java Patterns: Abstract Factory
49;../javase/;../javase/se-pattern-builder.qmd;Java Patterns: Builder
50;../javase/;../javase/se-pattern-factory.qmd;Java Patterns: Factory
51;../javase/;../javase/se-pattern-intro.qmd;Java SE Design-Patterns
52;../javase/;../javase/se-pattern-observer.qmd;Java Patterns: Observer
53;../javase/;../javase/se-pattern-singleton.qmd;Java Patterns: Singleton
54;../javase/;../javase/se-pattern-uml.qmd;Java Patterns: UML
55;../javase/;../javase/se-principles-abstraction.qmd;Java SE: Abstraction
56;../javase/;../javase/se-principles-encapsulation.qmd;Java SE: Encapsulation
57;../javase/;../javase/se-principles-inheritance.qmd;Java SE: Inherence
58;../javase/;../javase/se-principles-polymorphism.qmd;Java SE: Polymorphism
59;../javase/;../javase/se-what-basics.qmd;Java Standard Edition: Basics
60;../javase/;../javase/se-what-moochelsinki.qmd;Java MOOC Helsinki
61;../javase/;../javase/se-what-principles.qmd;Java Standard Edition: Principles
62;../linux/;../linux/lilab01-1.qmd;Linux Lab#LI01-1: Choose Linux
63;../linux/;../linux/lilab01-2.qmd;Linux Lab#LI01-2: Install at least three distributions
64;../linux/;../linux/lilab01-3.qmd;Linux Lab#LI01-3: Adjust user permissions
65;../linux/;../linux/lilab02-1.qmd;Linux Lab#LI02-1: Export env user with grep and pipe
66;../linux/;../linux/lilab03-1.qmd;Linux Lab#LI03-1: Manage users and groups
67;../linux/;../linux/lilab03-2.qmd;Linux Lab#LI03-2: Manage files
68;../linux/;../linux/lilab03-3.qmd;Linux Lab#LI03-3: Manage software
69;../linux/;../linux/lilab03-4.qmd;Linux Lab#LI03-4: Manage hardware
70;../linux/;../linux/linux-distros-debian.qmd;Linux Distros: Debian
71;../linux/;../linux/linux-distros-manjaro.qmd;Linux Distros: Manjaro
72;../linux/;../linux/linux-distros-mint.qmd;Linux Distros: Mint
73;../linux/;../linux/linux-distros-opensuse.qmd;Linux Distros: openSuse
74;../linux/;../linux/linux-distros-redhat.qmd;Linux Distros: Red Hat Enterprise Linux
75;../linux/;../linux/linux-distros-ubuntu.qmd;Linux Distros: Ubuntu
76;../linux/;../linux/linux-what-bash.qmd;Linux: Bash
77;../linux/;../linux/linux-what-basics.qmd;Linux: basic concepts
78;../linux/;../linux/linux-what-filesys.qmd;Linux: File System
79;../linux/;../linux/linux-what-pipes.qmd;Linux: pipes
80;../linux/;../linux/linux-what-sudo.qmd;Linux: su and sudo
81;../linux/;../linux/linux-what-vm.qmd;Linux: Virtual Machines
82;../linux/;../linux/resources.qmd;Linux Readings
83;../markup/;../markup/markup-css-basics.qmd;Cascade Style Sheet
84;../markup/;../markup/markup-css-w3css.qmd;CSS: W3.css
85;../markup/;../markup/markup-lang-htmlmd.qmd;Markdown and HTML working together, good idea?
86;../markup/;../markup/markup-lang-html.qmd;HTML Markup
87;../markup/;../markup/markup-lang-intro.qmd;Introduction Markup
88;../markup/;../markup/markup-lang-md.qmd;Markdown Markup
89;../markup/;../markup/markup-quarto-basics.qmd;Quarto Markdown: basics
90;../markup/;../markup/markup-quarto-cheatsheet.qmd;Quarto Markdown: cheat-sheet
91;../markup/;../markup/markup-quarto-code.qmd;Quarto Markdown: data sources
92;../markup/;../markup/markup-quarto-create.qmd;Quarto Markdown: creating
93;../markup/;../markup/markup-quarto-publish.qmd;Quarto Markdown: publishing
94;../markup/;../markup/mulab1.qmd;Lab#MD01-1: Create and publish by Quarto
95;../markup/;../markup/resources.qmd;MarkUp Languages Resources
96;../reactjs/;../reactjs/hookcustom.qmd;React JS
97;../reactjs/;../reactjs/hookeffect.qmd;React JS
98;../reactjs/;../reactjs/hookreducer.qmd;React JS
99;../reactjs/;../reactjs/hookref.qmd;React JS
100;../reactjs/;../reactjs/hookstate.qmd;React JS
101;../reactjs/;../reactjs/reactjscontext.qmd;React JS
102;../reactjs/;../reactjs/reactjs.qmd;React JS: Introduction
103;../reactjs/;../reactjs/resources.qmd;React JS
104;../reactjs/;../reactjs/rjslab1.qmd;React JS
105;../reactjs/;../reactjs/rjslab2.qmd;React JS
106;../reactjs/;../reactjs/rjslab3.qmd;React JS
107;../reactjs/;../reactjs/rjslab4.qmd;React JS
108;../reactjs/;../reactjs/rjslab5.qmd;React JS
109;../scrum/;../scrum/agilemanifesto.qmd;Agile Manifesto
110;../scrum/;../scrum/digitaltoolsscrum.qmd;Digital Tools SCRUM
111;../scrum/;../scrum/scrumguide.qmd;SCRUM Guide
112;../scrum/;../scrum/scrum.qmd;SCRUM
113;../scrum/;../scrum/week1.qmd;Week 1: Meetings and impediments
114;../scrum/;../scrum/week2.qmd;Week 2: User stories, tasks and habits
115;../scrum/;../scrum/week3.qmd;Week 3: Communication and value
116;../scrum/;../scrum/week4.qmd;Week 4: ScrumMaster, how it works
117;../scrum/;../scrum/week5.qmd;Week 5: Mindset, the key to everythng
118;../spring/;../spring/springmvc.qmd;Spring MVC
119;../spring/;../spring/spring.qmd;Spring
120;../springboot/;../springboot/resources.qmd;Spring Boot Resources
121;../springboot/;../springboot/sblab1.qmd;Lab 1: Spring Boot Projects
122;../springboot/;../springboot/sblab2.qmd;Lab 2: Spring Boot Projects
123;../springboot/;../springboot/sblab3.qmd;Lab 3: Spring Boot Projects
124;../springboot/;../springboot/sblab4.qmd;Lab 4: Spring Boot Projects `JPA Inherence` strategies
125;../springboot/;../springboot/sblab5.qmd;Lab 5: subject
126;../springboot/;../springboot/springboot.qmd;Spring Boot
127;../vocabulary/;../vocabulary/vocabdatabase.qmd;DataBase Vocabulary
128;../vocabulary/;../vocabulary/vocabdevops.qmd;DevOps Vocabulary
129;../vocabulary/;../vocabulary/vocabgeneral.qmd;General Vocabulary
130;../vocabulary/;../vocabulary/vocabjava.qmd;Java SE Vocabulay
131;../vocabulary/;../vocabulary/vocabreactjs.qmd;ReactJS Vocabulary
132;../vocabulary/;../vocabulary/vocabscrum.qmd;SCRUM Vocabulay
133;../vocabulary/;../vocabulary/vocabspringboot.qmd;Spring Boot Vocabulay
134;../vocabulary/;../vocabulary/vocabweb.qmd;Web Vocabulary
