COUNTER;DOMAIN;SECTION;PATH;TITLE
1;index.qmd;;index.qmd;Home
2;devops;What is DevOps;devops/devops-what-intro.qmd;DevOps: Introduction
3;devops;What is DevOps;devops/devops-what-overview.qmd;DevOps: agile and microservices
4;devops;What is DevOps;devops/devops-what-immutable.qmd;Immutable Infrastructure
5;devops;Documentation;devops/devops-doc-quarto.qmd;How to document: Quarto and Obsidian
6;devops;Version Control;devops/devops-vc-git.qmd;Git
7;devops;Version Control;devops/devops-vc-github.qmd;GitHub
8;devops;IDEs;devops/devops-ide-visualcode.qmd;Visual Code
9;devops;IDEs;devops/devops-ide-intelljidea.qmd;IDE: IntellJIdea
10;devops;DevOps tools;devops/devops-tools-aws.qmd;Aamanzon Web Sevices AWS
11;devops;DevOps tools;devops/devops-tools-docker.qmd;Docker
12;devops;DevOps tools;devops/devops-tools-jenkins.qmd;Jenkins pipelines
13;devops;DevOps tools;devops/devops-tools-k8s.qmd;Kubernetes k8s
14;devops;DevOps tools;devops/devops-tools-digitalocean.qmd;Digital Ocean
15;devops;DevOps tools;devops/devops-tools-installjenkins.qmd;Howto install Jenkins
16;devops;DevOps tools;devops/devops-tools-installmaven.qmd;Howto install Maven
17;devops;DevOps Laboratories;devops/devops-lab-chatapp.qmd;Lab 1: chat App
18;devops;DevOps Laboratories;devops/devops-lab-springbooksintro.qmd;Lab 2: Spring Boot Intro
19;devops;DevOps Laboratories;devops/devops-lab-springbookss3.qmd;Lab 3: Spring Boot and AWS S3
20;devops;DevOps Laboratories;devops/devops-lab-springbooksdocker.qmd;Lab 4: Spring Boot and Docker
21;devops;DevOps Laboratories;devops/devops-lab-k8sdigitalocean.qmd;Lab 5: k8s on Digital Ocean
22;devops;DevOps readings;devops/resources.qmd;Resources
23;linux;Linux: concepts;linux/linux-what-basics.qmd;Linux: basic concepts
24;linux;Linux: concepts;linux/linux-what-bash.qmd;Linux: Bash
25;linux;Linux: concepts;linux/linux-what-sudo.qmd;Linux: su and sudo
26;linux;Linux: concepts;linux/linux-what-pipes.qmd;Linux: pipes
27;linux;Linux: concepts;linux/linux-what-sys.qmd;
28;linux;Linux: concepts;linux/linux-what-vm.qmd;Linux: Virtual Machines
29;linux;Linux: distros;linux/linux-distros-ubuntu.qmd;Linux Distros: Ubuntu
